age,annual_income,monthly_debt_payments,credit_utilization_ratio,num_open_accounts,num_late_payments_last_2yr,num_hard_inquiries_last_6mo,oldest_account_age_months,total_credit_limit,loan_amount_requested,employment_length_years,has_mortgage,has_auto_loan,debt_to_income_ratio,payment_history_score,credit_approved
23.0,85962.62390039643,3307.6252718406213,0.22455855223532134,19.0,8.0,3.0,176.90514459643308,81531.66540208884,24346.014199023244,0.2932045993203818,1.0,1.0,0.4617297781426138,46.96507050118228,0
62.0,15000.0,110.51444171643843,0.24708835178742036,18.0,2.0,2.0,452.8923229099403,29721.967409734956,1980.567220175206,15.873613208740196,0.0,1.0,0.08841155337314484,87.0676345736231,1
55.0,35141.02020575222,368.6590438158766,0.25683513901364463,10.0,13.0,6.0,330.30788402517237,90468.91215398935,4806.181364311114,16.799343265511258,0.0,1.0,0.12589015628710307,2.0462510136923244,1
,47440.47619649288,1203.0559906913143,0.23648436396950895,14.0,0.0,1.0,319.49745530698004,22930.667164564562,20009.07032239136,1.5314390718798103,0.0,0.0,0.30431127690414556,94.45715014950105,1
43.0,56291.21630493574,2209.831699822129,0.28742343059963404,17.0,11.0,9.0,288.0445242649974,110630.30308503841,8675.711485156935,2.6956407717763344,1.0,0.0,0.47108558205980566,20.06452463544702,0
67.0,31701.467028073486,896.5506713556223,0.14688336743420569,12.0,13.0,5.0,427.7308742550343,65213.96497928055,6897.86297573909,0.43237373845774874,1.0,,0.3393725611101769,13.318339122739532,0
22.0,16272.357855784745,642.0035530960862,0.3181241334831357,17.0,14.0,8.0,139.96605911533365,49152.7258643985,2825.097002781585,9.927859325190232,1.0,1.0,0.4734435356836631,0.0,0
58.0,30313.366250231455,1185.1323391040396,0.2289668235512785,16.0,9.0,3.0,421.4879126100104,66241.78426486095,19760.17007891622,4.492594553308148,1.0,1.0,0.4691523848539724,36.1532670351613,0
29.0,31280.34448130976,1725.8897933504404,0.6043918170056292,8.0,12.0,9.0,192.31114992323126,26440.123862733555,12114.495820991679,7.5912952087779955,1.0,0.0,0.6620987672491717,3.9773468364068627,0
23.0,30826.928930854287,339.2915417494381,0.43036740021476516,5.0,14.0,6.0,,16492.71627821857,14317.325105827333,6.534351003434366,0.0,0.0,0.13207603359146208,0.0,0
48.0,87731.40009442912,2908.1286247905564,0.3939473267986966,6.0,4.0,4.0,342.8906003595482,178973.09169310797,42744.37089952159,8.319537206518222,,0.0,0.397777118111925,65.85357928010426,1
